characteristic,missing_pct
rd_sale,65.95289079229121
rd_mve,63.788587550890995
realestate,63.60524211706537
pchsaleinv,56.500261922048324
pchsale_pchinvt,55.88359632757718
saleinv,55.43740982069828
stdacc,52.690444899872254
stdcf,52.690444899872254
orgcap,51.722252345810624
secured,50.83125786914926
pchsale_pchxsga,46.706215364255456
grltnoa,44.499177472865796
grcapx,40.360809109373136
cinvest,39.22627307900856
tb,39.217082831699
pchdepr,39.10955693817721
pchcapx_ia,38.907831009732476
roavol,38.301274687301834
depr,38.10322485778092
pchsale_pchrect,37.193390374134964
operprof,37.14881767468363
invest,36.85197268658499
tang,36.096993870105045
chtx,36.00601042174045
rsup,35.94535478949739
chpmia,35.92513624541636
ms,35.91686502283776
cash,35.82036742608744
roaq,35.789120585234954
roeq,35.76614496696106
cashdebt,35.75190008363125
aeavol,35.72524836643354
ear,35.720193730413285
nincr,35.69675859977392
pchgm_pchsale,35.66137614763213
sgr,35.66137614763213
salerec,35.40083263640624
pchquick,35.36774774609185
hire,34.98175735909053
chempia,34.98175735909053
chatoia,34.90364025695932
pchcurrat,34.76808410914337
quick,34.48134839308526
chinv,34.0549209179219
currat,33.94096185128342
lgr,33.24204354339175
egr,33.22320353640716
pctacc,33.17311668857009
absacc,33.17311668857009
acc,33.17311668857009
chcsho,33.051345911718485
bm,33.04261517677441
bm_ia,33.04261517677441
divi,33.03756054075415
rd,33.03756054075415
agr,33.03756054075415
divo,33.03756054075415
gma,33.03756054075415
ps,33.03756054075415
cashpr,32.646975030098055
roic,32.59826671935742
dy,32.53761108711436
cfp,32.420435433917525
cfp_ia,32.420435433917525
salecash,32.419975921552044
lev,32.399757377471026
ep,32.29039343448733
sp,32.29039343448733
mve_ia,32.29039343448733
sin,32.28763636029446
securedind,32.28763636029446
age,32.28763636029446
herf,32.28763636029446
convind,32.28763636029446
mom36m,20.542500298683038
idiovol,10.060563729769969
beta,10.060563729769969
betasq,10.060563729769969
pricedelay,10.060563729769969
chmom,8.992656992399665
mom12m,8.992656992399665
mom6m,4.604773414452583
turn,1.9221402247934491
dolvol,1.1359145674610103
mom1m,0.979220850833096
retvol,0.11625662846587201
std_dolvol,0.10752589352179466
ill,0.08638832470981794
std_turn,0.0643317311668857
mvel1,0.02113756881197673
baspread,0.00275707419286653
maxret,0.00275707419286653
indmom,0.0
