variable,dtype,min,max,range,nunique,sum,missing_count,missing_pct,first_obs_date,last_obs_date
agr,float64,-5.636086957000001,0.7013919918000001,6.337478948800001,238755,-513611.61651373864,194346,4.720254498238885,1957-01-01,2021-06-01
bm,float64,-4.753152203,153.74597772,158.49912992300003,339955,4765897.060951953,194346,4.720254498238885,1957-01-01,2021-06-01
bm_ia,float64,-130.9348434,137.29697196,268.23181536000004,2589439,-5701090.506925762,194346,4.720254498238885,1957-01-01,2021-06-01
cashdebt,float64,-10248.0,2.7623041816,10250.7623041816,248367,23489.059653274162,194346,4.720254498238885,1957-01-01,2021-06-01
cashpr,float64,-656.4051724,600.27737445,1256.68254685,255712,-1793239.4601729927,194346,4.720254498238885,1957-01-01,2021-06-01
cfp,float64,-170.1725966,161.28252366,331.45512026,232825,222484.38485755608,194346,4.720254498238885,1957-01-01,2021-06-01
cfp_ia,float64,-168.9501625,363.74706091,532.69722341,233172,-301680.31317358464,194346,4.720254498238885,1957-01-01,2021-06-01
chatoia,float64,-1.006542146,1.209927457,2.216469603,216462,3706.86859920217,194346,4.720254498238885,1957-01-01,2021-06-01
chcsho,float64,-0.888405797,7.2087658593,8.0971716563,198716,321161.8459386283,194346,4.720254498238885,1957-01-01,2021-06-01
chempia,float64,-57.17108398,3.5750877723000003,60.7461717523,205487,-400481.2050418675,194346,4.720254498238885,1957-01-01,2021-06-01
chinv,float64,-0.279733495,0.3835263835,0.6632598785,184216,39081.11275495644,194346,4.720254498238885,1957-01-01,2021-06-01
chpmia,float64,-166.9575638,173.7708691,340.72843290000003,235383,324622.5633617065,194346,4.720254498238885,1957-01-01,2021-06-01
convind,float64,0.0,1.0,1.0,2,420332.0,194346,4.720254498238885,1957-01-01,2021-06-01
currat,float64,0.0,106.67938931,106.67938931,247216,12480565.521623222,194346,4.720254498238885,1957-01-01,2021-06-01
depr,float64,-0.983828834,8.1223880597,9.106216893700001,232762,918936.0635327015,194346,4.720254498238885,1957-01-01,2021-06-01
divi,float64,0.0,1.0,1.0,2,87397.0,194346,4.720254498238885,1957-01-01,2021-06-01
divo,float64,0.0,1.0,1.0,2,84522.0,194346,4.720254498238885,1957-01-01,2021-06-01
dy,float64,-12.14504773,0.5439915651,12.6890392951,137998,72984.26969627224,194346,4.720254498238885,1957-01-01,2021-06-01
egr,float64,-4.091554638,9.5663234172,13.6578780552,236470,460578.70797048253,194346,4.720254498238885,1957-01-01,2021-06-01
ep,float64,-8.194066112,0.6827200984999999,8.8767862105,259210,-22455.768945320837,194346,4.720254498238885,1957-01-01,2021-06-01
gma,float64,-0.894597428,1.7661495963,2.6607470243,236173,1308558.5523772868,194346,4.720254498238885,1957-01-01,2021-06-01
grcapx,float64,-14.12089744,46.988764045,61.109661485000004,191553,2366042.248132514,194346,4.720254498238885,1957-01-01,2021-06-01
grltnoa,float64,-0.592349727,1.1846110654000002,1.7769607924000002,178143,287416.6211305855,194346,4.720254498238885,1957-01-01,2021-06-01
herf,float64,0.0,1.0,1.0,3826,363115.7843560604,194346,4.720254498238885,1957-01-01,2021-06-01
hire,float64,-0.788343558,3.9166666667,4.7050102247,100033,260046.53843447167,194346,4.720254498238885,1957-01-01,2021-06-01
invest,float64,-0.5385402460000001,2.3273809524,2.8659211984,221332,271671.0227794627,194346,4.720254498238885,1957-01-01,2021-06-01
lev,float64,0.0,72.914767411,72.914767411,260502,7320474.9220354725,194346,4.720254498238885,1957-01-01,2021-06-01
lgr,float64,-0.797752809,10.75,11.547752809,236962,789332.3786685058,194346,4.720254498238885,1957-01-01,2021-06-01
mve_ia,float64,-29218.104710000003,187263.28346,216481.38817000002,259524,-1492859724.0821574,194346,4.720254498238885,1957-01-01,2021-06-01
operprof,float64,-6.165168812,3.4617852274,9.626954039400001,227640,633643.8741832131,194346,4.720254498238885,1957-01-01,2021-06-01
orgcap,float64,-0.0011567139999999,0.1648427256,0.16599943959999988,183505,48036.944524110615,194346,4.720254498238885,1957-01-01,2021-06-01
pchcapx_ia,float64,-728.1018822000001,2238.1306093000003,2966.2324915000004,225588,20123362.556349456,194346,4.720254498238885,1957-01-01,2021-06-01
pchcurrat,float64,-0.899768116,8.1401658737,9.039933989700002,228724,187571.35923185849,194346,4.720254498238885,1957-01-01,2021-06-01
pchdepr,float64,-0.959677419,7.6442176684,8.6038950874,220783,295719.80820952565,194346,4.720254498238885,1957-01-01,2021-06-01
pchgm_pchsale,float64,-12.09416094,5.999987444199999,18.0941483842,234330,-207370.62651637328,194346,4.720254498238885,1957-01-01,2021-06-01
pchquick,float64,-0.922605349,9.3731396808,10.295745029799999,226207,250440.66433537443,194346,4.720254498238885,1957-01-01,2021-06-01
pchsale_pchinvt,float64,-10.56357199,3.3883810342,13.9519530242,183094,-101951.34713653653,194346,4.720254498238885,1957-01-01,2021-06-01
pchsale_pchrect,float64,-7.911684631,3.1686650108,11.0803496418,226607,-135310.98431349464,194346,4.720254498238885,1957-01-01,2021-06-01
pchsale_pchxsga,float64,-1.5694444440000002,4.3352121948,5.904656638800001,193870,36350.102472391896,194346,4.720254498238885,1957-01-01,2021-06-01
pchsaleinv,float64,-121.0362857,30.973970161,152.010255861,182651,339000.6467318342,194346,4.720254498238885,1957-01-01,2021-06-01
pctacc,float64,-69.88115345,68.846153846,138.727307296,214341,-2018730.8296632948,194346,4.720254498238885,1957-01-01,2021-06-01
ps,float64,0.0,9.0,9.0,12,16206016.5,194346,4.720254498238885,1957-01-01,2021-06-01
quick,float64,0.0,100.6334131,100.6334131,244513,9671607.284462862,194346,4.720254498238885,1957-01-01,2021-06-01
rd,float64,0.0,1.0,1.0,2,366867.0,194346,4.720254498238885,1957-01-01,2021-06-01
rd_mve,float64,-0.03411239,2.2277974662,2.2619098562000004,98105,150254.60673585022,194346,4.720254498238885,1957-01-01,2021-06-01
rd_sale,float64,-90.38461538,179.65,270.03461538,95784,1044785.1304772171,194346,4.720254498238885,1957-01-01,2021-06-01
realestate,float64,0.0,0.9709816368,0.9709816368,87367,727618.3078446895,194346,4.720254498238885,1957-01-01,2021-06-01
roic,float64,-19.7896735,1.1732637639,20.9629372639,246940,-231993.51712903116,194346,4.720254498238885,1957-01-01,2021-06-01
salecash,float64,-1591.636364,2141.125,3732.761364,253353,155859441.24295622,194346,4.720254498238885,1957-01-01,2021-06-01
saleinv,float64,-106.6224376,1127.253012,1233.8754496,198332,78397286.66923898,194346,4.720254498238885,1957-01-01,2021-06-01
salerec,float64,-21796.0,594.0,22390.0,246189,40076667.86019653,194346,4.720254498238885,1957-01-01,2021-06-01
secured,float64,-7.9705e-05,3.8485757121,3.8486554171000003,74021,1694636.038353008,194346,4.720254498238885,1957-01-01,2021-06-01
securedind,float64,0.0,1.0,1.0,3,1566589.0,194346,4.720254498238885,1957-01-01,2021-06-01
sgr,float64,-0.9300014,7.5,8.4300014,234304,618730.0805669586,194346,4.720254498238885,1957-01-01,2021-06-01
sin,float64,0.0,1.0,1.0,2,27811.0,194346,4.720254498238885,1957-01-01,2021-06-01
sp,float64,-35.94196184,54.594991999,90.536953839,257439,7619678.752481142,194346,4.720254498238885,1957-01-01,2021-06-01
tang,float64,0.0,0.9819330241,0.9819330241,245489,2094383.3739592023,194346,4.720254498238885,1957-01-01,2021-06-01
tb,float64,-40.78334542,12.142874455,52.926219875,160957,-622309.2219426822,194346,4.720254498238885,1957-01-01,2021-06-01
aeavol,float64,-1.0,20.913043478,21.913043478,788301,2277679.6206998955,97918,2.378221728044596,1957-01-01,2021-09-01
cash,float64,-0.143183846,0.9773526909,1.1205365369,810645,471986.2798543278,97918,2.378221728044596,1957-01-01,2021-09-01
chtx,float64,-0.117820888,0.1452963808,0.2631172688,667749,2830.5724578839418,97918,2.378221728044596,1957-01-01,2021-09-01
cinvest,float64,-123.6666667,351.5,475.1666667,745024,-4334.094008680148,97918,2.378221728044596,1957-01-01,2021-09-01
ear,float64,-0.458277427,0.5012611896,0.9595386166,628947,8697.375051521734,97918,2.378221728044596,1957-01-01,2021-09-01
nincr,float64,0.0,8.0,8.0,9,3486749.0,97918,2.378221728044596,1957-01-01,2021-09-01
roaq,float64,-0.516859717,0.1822474032,0.6991071202,808218,8294.034833879678,97918,2.378221728044596,1957-01-01,2021-09-01
roavol,float64,0.0,0.8751859998999999,0.8751859998999999,688886,74985.49943265873,97918,2.378221728044596,1957-01-01,2021-09-01
roeq,float64,-2.011209538,1.9891738246,4.0003833626,823176,43776.78543685713,97918,2.378221728044596,1957-01-01,2021-09-01
rsup,float64,-4.271041436,2.5114186851,6.7824601211,810291,76805.74086690087,97918,2.378221728044596,1957-01-01,2021-09-01
stdacc,float64,0.0,929.63238091,929.63238091,542476,11128614.091708845,97918,2.378221728044596,1957-01-01,2021-09-01
stdcf,float64,0.0,2996.621567,2996.621567,542583,26202900.2407752,97918,2.378221728044596,1957-01-01,2021-09-01
ms,float64,0.0,8.0,8.0,11,13378416.0,97918,2.378221728044596,1957-01-01,2021-09-01
baspread,float64,-0.217183509,0.9818181818,1.1990016908,3952504,215195.950391468,32791,0.7964242395096955,1957-01-01,2021-11-01
ill,float64,0.0,0.0009818182,0.0009818182,3620857,17.990786618322108,32791,0.7964242395096955,1957-01-01,2021-11-01
maxret,float64,0.0,0.9666665196,0.9666665196,673215,283234.6649318841,32791,0.7964242395096955,1957-01-01,2021-11-01
retvol,float64,0.0,0.2659367115,0.2659367115,3905758,124066.92875693791,32791,0.7964242395096955,1957-01-01,2021-11-01
std_dolvol,float64,0.0,3.3624285022,3.3624285022,3732365,3448476.67880766,32791,0.7964242395096955,1957-01-01,2021-11-01
std_turn,float64,0.0,794.68585525,794.68585525,3746088,17426399.88669663,32791,0.7964242395096955,1957-01-01,2021-11-01
zerotrade,float64,7.336618000000002e-13,20.045456146,20.045456145999264,3075101,5244343.71754569,32791,0.7964242395096955,1957-01-01,2021-11-01
sic2,float64,1.0,99.0,98.0,74,182204784.0,300337,7.29455237173686,1957-01-01,2021-12-01
ret,float64,-0.9936,24.0,24.9936,451113,45572.34308900004,20487,0.4975860264961462,1957-01-01,2021-12-01
dlret,float64,-1.0,35.333332,36.333332,13622,-1752.0375200000008,4093919,99.43265915005011,1957-01-01,2021-12-01
tbl,float64,0.0001,0.163,0.16290000000000002,481,179933.3563000001,0,0.0,1957-01-01,2021-12-01
rf,float64,0.0,0.0135,0.0135,106,14691.775700000007,0,0.0,1957-01-01,2021-12-01
d/p,float64,0.010849,0.063716,0.052867,772,112255.08757399998,0,0.0,1957-01-01,2021-12-01
e/p,float64,0.007935,0.14977,0.141835,775,246893.52461799994,0,0.0,1957-01-01,2021-12-01
b/m,float64,0.12051,1.20653,1.08602,780,1808849.953415999,0,0.0,1957-01-01,2021-12-01
tms,float64,-0.0365,0.0455,0.08199999999999999,425,78907.25485600003,0,0.0,1957-01-01,2021-12-01
dfy,float64,0.0032,0.0338,0.030599999999999995,165,42021.967999999964,0,0.0,1957-01-01,2021-12-01
ntis,float64,-0.055954,0.051161,0.10711499999999999,774,32731.797675000023,0,0.0,1957-01-01,2021-12-01
svar,float64,7.2e-05,0.073153,0.073081,688,9958.590821000005,0,0.0,1957-01-01,2021-12-01
excess_ret_total,float64,-1.0131000000000001,35.325732,36.338832000000004,1815045,29039.95747772393,32791,0.7964242395096955,1957-01-01,2021-11-01
