characteristic,missing_pct
realestate,28.98510778031007
secured,22.750744217576347
stdacc,12.687167001514377
stdcf,12.687167001514377
chtx,9.798272593983363
roavol,9.486619574071748
roaq,9.486619574071748
cinvest,9.486619574071748
cash,9.425297078477305
ms,9.303586431647917
roeq,9.303586431647917
nincr,9.303586431647917
rsup,9.303586431647917
ear,9.303586431647917
aeavol,9.303586431647917
acc,5.568692382610081
absacc,5.568692382610081
egr,5.568692382610081
grltnoa,5.568692382610081
pctacc,5.568692382610081
operprof,5.295372069447357
roic,5.128026077059313
bm_ia,5.128026077059313
cfp_ia,5.128026077059313
bm,5.128026077059313
cfp,5.128026077059313
chatoia,4.963483117749765
grcapx,4.963483117749765
gma,4.638282104625422
invest,4.638282104625422
divi,4.638282104625422
sgr,4.638282104625422
rd,4.638282104625422
pchsaleinv,4.638282104625422
pchsale_pchinvt,4.638282104625422
ps,4.638282104625422
pchcurrat,4.638282104625422
pchgm_pchsale,4.638282104625422
pchcapx_ia,4.638282104625422
pchsale_pchrect,4.638282104625422
orgcap,4.638282104625422
pchdepr,4.638282104625422
chpmia,4.638282104625422
chinv,4.638282104625422
agr,4.638282104625422
chempia,4.638282104625422
chcsho,4.638282104625422
lgr,4.638282104625422
divo,4.638282104625422
pchquick,4.638282104625422
pchsale_pchxsga,4.638282104625422
hire,4.638282104625422
rd_mve,4.346914192518705
rd_sale,4.346914192518705
dy,4.164421986303004
lev,4.164421986303004
herf,4.164421986303004
ep,4.164421986303004
age,4.164421986303004
cashdebt,4.164421986303004
currat,4.164421986303004
convind,4.164421986303004
cashpr,4.164421986303004
salerec,4.164421986303004
saleinv,4.164421986303004
securedind,4.164421986303004
sin,4.164421986303004
depr,4.164421986303004
mve_ia,4.164421986303004
quick,4.164421986303004
salecash,4.164421986303004
sp,4.164421986303004
tang,4.164421986303004
tb,4.164421986303004
retvol,0.6313217309073492
turn,0.6313217309073492
std_turn,0.6313217309073492
std_dolvol,0.6313217309073492
pricedelay,0.6313217309073492
betasq,0.6313217309073492
beta,0.6313217309073492
baspread,0.6313217309073492
chmom,0.6313217309073492
zerotrade,0.6313217309073492
dolvol,0.6313217309073492
idiovol,0.6313217309073492
ill,0.6313217309073492
indmom,0.6313217309073492
maxret,0.6313217309073492
mom12m,0.6313217309073492
mom1m,0.6313217309073492
mom36m,0.6313217309073492
mom6m,0.6313217309073492
mvel1,0.6313217309073492
ret_total,0.6313217309073492
