2026-08-12 16:22:11 | INFO | eap_ml | Logger initialized.
2026-08-12 16:22:11 | INFO | eap_ml | Regime mode: full
2026-08-12 16:22:11 | INFO | eap_ml | Log file: logs\eap_ml_full_20260812_162211.log
2026-08-12 16:22:11 | INFO | eap_ml | Starting experiment run.
2026-08-12 16:22:11 | INFO | eap_ml | Random seed: 42
2026-08-12 16:22:11 | INFO | eap_ml | Cache dir: cache
2026-08-12 16:22:11 | INFO | eap_ml | Data regime: full
2026-08-12 16:22:11 | INFO | eap_ml | Model selection: Running ALL models (including LSTM)
2026-08-12 16:22:11 | INFO | eap_ml | Building complete dataset.
2026-08-12 16:22:11 | INFO | eap_ml.dataset_builder | Building complete dataset, output: cache/complete_dataset.parquet
