2026-09-16 00:22:11 | INFO | eap_ml | Logger initialized.
2026-09-16 00:22:11 | INFO | eap_ml | Regime mode: full
2026-09-16 00:22:11 | INFO | eap_ml | Log file: logs\eap_ml_full_20260916_002211.log
2026-09-16 00:22:11 | INFO | eap_ml | Starting experiment run.
2026-09-16 00:22:11 | INFO | eap_ml | Random seed: 42
2026-09-16 00:22:11 | INFO | eap_ml | Cache dir: cache
2026-09-16 00:22:11 | INFO | eap_ml | Data regime: full
2026-09-16 00:22:11 | INFO | eap_ml | Model selection: Running ALL models (including LSTM)
2026-09-16 00:22:11 | INFO | eap_ml | Building complete dataset.
2026-09-16 00:22:11 | INFO | eap_ml | Building complete dataset (cache disabled or force_refit).
2026-09-16 00:22:11 | INFO | eap_ml.dataset_builder | Building complete dataset, output: cache/complete_dataset.parquet
2026-09-16 00:22:11 | DEBUG | eap_ml.dataset_builder | Loading source datasets
2026-09-16 00:22:11 | DEBUG | eap_ml.data_inputs | Loading CRSP monthly data from C:/Coding/Project/data/crsp_monthly.csv
2026-09-16 00:22:19 | DEBUG | eap_ml.data_inputs | Standardizing date of CRSP
2026-09-16 00:22:34 | DEBUG | eap_ml.data_inputs | CRSP loaded: 4594389 rows
2026-09-16 00:22:34 | DEBUG | eap_ml.data_inputs | Loading macro data from C:/Coding/Project/data/Data2024_monthly_goyal.csv
2026-09-16 00:22:34 | DEBUG | eap_ml.data_inputs | Standardizing date of Macro
2026-09-16 00:22:34 | DEBUG | eap_ml.data_inputs | Macro loaded: 1848 rows, columns: ['date', 'tbl', 'd/p', 'e/p', 'b/m', 'tms', 'dfy', 'ntis', 'svar']
2026-09-16 00:22:34 | DEBUG | eap_ml.data_inputs | Loading datashare from C:/Coding/Project/data/datashare.csv
2026-09-16 00:24:04 | DEBUG | eap_ml.data_inputs | Standardizing date of datashare
2026-09-16 00:24:12 | DEBUG | eap_ml.data_inputs | Datashare loaded: 4117300 rows, 97 columns
2026-09-16 00:24:12 | DEBUG | eap_ml.dataset_builder | Identified 94 characteristic columns
2026-09-16 00:24:12 | DEBUG | eap_ml.dataset_builder | Merging datashare with CRSP
2026-09-16 00:24:24 | DEBUG | eap_ml.dataset_builder | Merging with macro data
2026-09-16 00:25:31 | DEBUG | eap_ml.dataset_builder | Saved missingness before imputation: descriptives/charas_missingness_before.csv, descriptives/charas_missingness_before.jpg
2026-09-16 00:25:31 | INFO | eap_ml.dataset_builder | Imputing missing characteristics using monthly cross-sectional medians
2026-09-16 00:26:17 | DEBUG | eap_ml.dataset_builder | Saved missingness after imputation: descriptives/charas_missingness_after.csv, descriptives/charas_missingness_after.jpg
