2026-09-18 13:45:10 | INFO | eap_ml | Logger initialized.
2026-09-18 13:45:10 | INFO | eap_ml | Regime mode: full
2026-09-18 13:45:10 | INFO | eap_ml | Log file: logs\eap_ml_full_20260918_134510.log
2026-09-18 13:45:10 | INFO | eap_ml | Starting experiment run.
2026-09-18 13:45:10 | INFO | eap_ml | Random seed: 42
2026-09-18 13:45:10 | INFO | eap_ml | Cache dir: cache
2026-09-18 13:45:10 | INFO | eap_ml | Data regime: full
2026-09-18 13:45:10 | INFO | eap_ml.dataset_builder | Building complete dataset, output: cache/complete_dataset.parquet
2026-09-18 13:45:10 | DEBUG | eap_ml.dataset_builder | Loading source datasets
2026-09-18 13:45:10 | DEBUG | eap_ml.data_inputs | Loading CRSP monthly data from C:/Coding/Project/data/crsp_monthly.csv
