2026-09-20 01:55:55 | INFO | eap_ml | Logger initialized.
2026-09-20 01:55:55 | INFO | eap_ml | Regime mode: full
2026-09-20 01:55:55 | INFO | eap_ml | Log file: logs\eap_ml_full_20260920_015555.log
2026-09-20 01:55:55 | INFO | eap_ml | Starting experiment run.
2026-09-20 01:55:55 | INFO | eap_ml | Random seed: 42
2026-09-20 01:55:55 | INFO | eap_ml | Cache dir: cache
2026-09-20 01:55:55 | INFO | eap_ml | Data regime: full
2026-09-20 01:55:55 | INFO | eap_ml | Model selection: Running ALL models (including LSTM)
2026-09-20 01:55:55 | INFO | eap_ml | Building complete dataset.
2026-09-20 01:55:55 | INFO | eap_ml | Building complete dataset (cache disabled or force_refit).
2026-09-20 01:55:55 | INFO | eap_ml.dataset_builder | Building complete dataset, output: cache/complete_dataset.parquet
2026-09-20 01:55:55 | DEBUG | eap_ml.dataset_builder | Loading source datasets
2026-09-20 01:55:55 | DEBUG | eap_ml.data_inputs | Loading CRSP monthly data from C:/Coding/Project/data/crsp_monthly.csv
2026-09-20 01:56:00 | DEBUG | eap_ml.data_inputs | Standardizing date of CRSP
2026-09-20 01:56:07 | DEBUG | eap_ml.data_inputs | CRSP loaded: 4594389 rows
2026-09-20 01:56:07 | DEBUG | eap_ml.data_inputs | Loading macro data from C:/Coding/Project/data/Data2024_monthly_goyal.csv
2026-09-20 01:56:07 | DEBUG | eap_ml.data_inputs | Standardizing date of Macro
2026-09-20 01:56:07 | DEBUG | eap_ml.data_inputs | Macro loaded: 1848 rows, columns: ['date', 'tbl', 'rf', 'd/p', 'e/p', 'b/m', 'tms', 'dfy', 'ntis', 'svar']
2026-09-20 01:56:07 | DEBUG | eap_ml.data_inputs | Loading datashare from C:/Coding/Project/data/datashare.csv
2026-09-20 01:56:54 | DEBUG | eap_ml.data_inputs | Standardizing date of datashare
2026-09-20 01:56:59 | DEBUG | eap_ml.data_inputs | Datashare loaded: 4117300 rows, 97 columns
2026-09-20 01:56:59 | DEBUG | eap_ml.dataset_builder | Identified 94 characteristic columns
2026-09-20 01:56:59 | DEBUG | eap_ml.dataset_builder | Merging datashare with CRSP
2026-09-20 01:57:07 | DEBUG | eap_ml.dataset_builder | Merging with macro data
2026-09-20 01:57:55 | DEBUG | eap_ml.dataset_builder | Creating excess_ret_total
2026-09-20 01:58:55 | DEBUG | eap_ml.dataset_builder | Saved missingness before imputation: descriptives/charas_missingness_before.csv
2026-09-20 01:58:55 | INFO | eap_ml.dataset_builder | Imputing missing characteristics using monthly cross-sectional medians
2026-09-20 01:59:43 | DEBUG | eap_ml.dataset_builder | Saved missingness after imputation: descriptives/charas_missingness_after.csv
2026-09-20 01:59:46 | DEBUG | eap_ml.dataset_builder | Saved missingness comparison plot: descriptives/charas_missingness_comparison.jpg
2026-09-20 02:00:38 | INFO | eap_ml.dataset_builder | Creating 1-month shift.
2026-09-20 02:00:40 | DEBUG | eap_ml.dataset_builder | 1-month shift created.
2026-09-20 02:00:40 | INFO | eap_ml.dataset_builder | Creating 3-month shift.
2026-09-20 02:00:42 | DEBUG | eap_ml.dataset_builder | 3-month shift created.
2026-09-20 02:00:42 | INFO | eap_ml.dataset_builder | Creating 6-month shift.
2026-09-20 02:00:45 | DEBUG | eap_ml.dataset_builder | 6-month shift created.
2026-09-20 02:00:45 | DEBUG | eap_ml.dataset_builder | Df after shifts recreated.
2026-09-20 02:01:41 | DEBUG | eap_ml.dataset_builder | Dataset reduced due to missing values to : 1957-03-29 00:00:00 and 2021-05-28 00:00:00
2026-09-20 02:01:43 | DEBUG | eap_ml.dataset_builder | Saved missingness after temporal cut: descriptives/charas_missingness_after_cut.csv
2026-09-20 02:01:44 | DEBUG | eap_ml.dataset_builder | Saved missingness comparison plot: descriptives/charas_missingness_comparison.jpg
2026-09-20 02:02:47 | INFO | eap_ml.dataset_builder | Complete dataset built: (4067943, 109)
2026-09-20 02:03:09 | INFO | eap_ml | Complete dataset shape: (4067943, 109)
