2026-09-17 03:34:02 | INFO | eap_ml | Logger initialized.
2026-09-17 03:34:02 | INFO | eap_ml | Regime mode: full
2026-09-17 03:34:02 | INFO | eap_ml | Log file: logs\eap_ml_full_20260917_033402.log
2026-09-17 03:34:02 | INFO | eap_ml | Starting experiment run.
2026-09-17 03:34:02 | INFO | eap_ml | Random seed: 42
2026-09-17 03:34:02 | INFO | eap_ml | Cache dir: cache
2026-09-17 03:34:02 | INFO | eap_ml | Data regime: full
2026-09-17 03:34:03 | INFO | eap_ml | Model selection: Running ALL models (including LSTM)
2026-09-17 03:34:03 | INFO | eap_ml | Building complete dataset.
2026-09-17 03:34:03 | INFO | eap_ml | Building complete dataset (cache disabled or force_refit).
2026-09-17 03:34:03 | INFO | eap_ml.dataset_builder | Building complete dataset, output: cache/complete_dataset.parquet
2026-09-17 03:34:03 | DEBUG | eap_ml.dataset_builder | Loading source datasets
2026-09-17 03:34:03 | DEBUG | eap_ml.data_inputs | Loading CRSP monthly data from C:/Coding/Project/data/crsp_monthly.csv
2026-09-17 03:34:09 | DEBUG | eap_ml.data_inputs | Standardizing date of CRSP
2026-09-17 03:34:17 | DEBUG | eap_ml.data_inputs | CRSP loaded: 4594389 rows
2026-09-17 03:34:17 | DEBUG | eap_ml.data_inputs | Loading macro data from C:/Coding/Project/data/Data2024_monthly_goyal.csv
2026-09-17 03:34:17 | DEBUG | eap_ml.data_inputs | Standardizing date of Macro
2026-09-17 03:34:17 | DEBUG | eap_ml.data_inputs | Macro loaded: 1848 rows, columns: ['date', 'tbl', 'd/p', 'e/p', 'b/m', 'tms', 'dfy', 'ntis', 'svar']
2026-09-17 03:34:17 | DEBUG | eap_ml.data_inputs | Loading datashare from C:/Coding/Project/data/datashare.csv
2026-09-17 03:35:11 | DEBUG | eap_ml.data_inputs | Standardizing date of datashare
2026-09-17 03:35:16 | DEBUG | eap_ml.data_inputs | Datashare loaded: 4117300 rows, 97 columns
2026-09-17 03:35:16 | DEBUG | eap_ml.dataset_builder | Identified 94 characteristic columns
2026-09-17 03:35:16 | DEBUG | eap_ml.dataset_builder | Merging datashare with CRSP
2026-09-17 03:35:31 | DEBUG | eap_ml.dataset_builder | Merging with macro data
2026-09-17 03:36:48 | DEBUG | eap_ml.dataset_builder | Creating ret_total
2026-09-17 03:36:57 | DEBUG | eap_ml.dataset_builder | Saved missingness before imputation: descriptives/charas_missingness_before.csv
2026-09-17 03:36:57 | INFO | eap_ml.dataset_builder | Imputing missing characteristics using monthly cross-sectional medians
2026-09-17 03:37:47 | DEBUG | eap_ml.dataset_builder | Saved missingness after imputation: descriptives/charas_missingness_after.csv
2026-09-17 03:37:48 | DEBUG | eap_ml.dataset_builder | Saved missingness comparison plot: descriptives/charas_missingness_comparison.jpg
2026-09-17 03:37:48 | DEBUG | eap_ml.dataset_builder | Building lead return target (shift ret_total)
2026-09-17 03:38:13 | DEBUG | eap_ml.dataset_builder | Building characteristic shifts
2026-09-17 03:39:18 | DEBUG | eap_ml.dataset_builder | Dataset reduced due to missing values to : 1957-10 and 2021-06
2026-09-17 03:39:22 | DEBUG | eap_ml.dataset_builder | Saved missingness after temporal cut: descriptives/charas_missingness_after_cut.csv
2026-09-17 03:39:23 | DEBUG | eap_ml.dataset_builder | Saved missingness comparison plot: descriptives/charas_missingness_comparison.jpg
2026-09-17 03:39:23 | INFO | eap_ml.dataset_builder | Complete dataset built: (4067023, 108)
2026-09-17 03:40:01 | INFO | eap_ml | Complete dataset shape: (4067023, 108)
2026-09-17 03:55:59 | DEBUG | eap_ml.data_inputs | Loading datashare from C:/Coding/Project/data/datashare.csv
2026-09-17 03:57:01 | DEBUG | eap_ml.data_inputs | Standardizing date of datashare
2026-09-17 03:57:11 | DEBUG | eap_ml.data_inputs | Datashare loaded: 4117300 rows, 97 columns
